country,iso_code,year,population
Sao Tome and Principe,STP,2016,203702
Saudi Arabia,SAU,2016,30717804
Senegal,SEN,2016,15034517
Serbia,SRB,2016,7126083
Seychelles,SYC,2016,109836
Sierra Leone,SLE,2016,7205339
Singapore,SGP,2016,5577936
Sint Maarten (Dutch part),SXM,2016,38274
Slovakia,SVK,2016,5427262
Slovenia,SVN,2016,2061379
Solomon Islands,SLB,2016,662387
Somalia,SOM,2016,14348741
South Africa,ZAF,2016,57259550
South America,OWID_SAM,2016,413395039
South Korea,KOR,2016,51297836
South Sudan,SSD,2016,10830108
Spain,ESP,2016,46732768
Sri Lanka,LKA,2016,21910763
Sudan,SDN,2016,41259892
Suriname,SUR,2016,587765
Svalbard and Jan Mayen,SJM,2016,2400
Sweden,SWE,2016,9923281
Switzerland,CHE,2016,8374903
Syria,SYR,2016,19193835
Taiwan,TWN,2016,23586140
Tajikistan,TJK,2016,8865623
Tanzania,TZA,2016,53824012
Thailand,THA,2016,70859835
Togo,TGO,2016,7200883
Tokelau,TKL,2016,1703
Tonga,TON,2016,105536
Trinidad and Tobago,TTO,2016,1437031
Tunisia,TUN,2016,11528676
Turkey,TUR,2016,81652087
Turkmenistan,TKM,2016,6360041
Turks and Caicos Islands,TCA,2016,38342
Tuvalu,TUV,2016,10951
Uganda,UGA,2016,38799153
Ukraine,UKR,2016,45616831
United Arab Emirates,ARE,2016,9030873
United Kingdom,GBR,2016,65893359
United States,USA,2016,329179423
United States Virgin Islands,VIR,2016,97795
Upper-middle-income countries,OWID_UMC,2016,2759890904
Uruguay,URY,2016,3379279
Uzbekistan,UZB,2016,31284565
Vanuatu,VUT,2016,272097
Vatican,VAT,2016,571
Venezuela,VEN,2016,30765719
Vietnam,VNM,2016,94000115
Wallis and Futuna,WLF,2016,12057
Western Sahara,ESH,2016,499658
World,OWID_WRL,2016,7558554527
Yemen,YEM,2016,32109023
Zambia,ZMB,2016,16914428
Zimbabwe,ZWE,2016,14600297
